FID,STATE,FIPS,TRT,TRTKEY,CTTRTKEY,FENAME,COLOR,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Ar_1
6072,48,439,123600,6073,439123600,TARRANT,2,1413,88,1236,3558,2946,810,2004,2145,1315,935,1518,598,74,1631,11158.197649300000194,2494644.687009999994189
6073,48,439,123700,6074,439123700,TARRANT,2,2284,193,671,3623,3048,420,1059,1339,1957,530,848,348,165,1091,10563.818627500000730,3568098.837150000035763
6074,48,439,980000,6075,439980000,TARRANT,2,1,0,12,14,12,1,12,13,1,10,10,1,0,11,39117.188821900002949,46138932.456299997866154
6075,48,441,010100,6076,441010100,TAYLOR,2,4522,188,934,6461,5688,684,1578,1939,4106,761,1282,548,146,1582,13696.080297099999370,7046281.629139999859035
6076,48,441,010200,6077,441010200,TAYLOR,2,1516,40,709,2755,2239,459,1146,1239,1358,475,801,330,35,881,8841.574851979999949,4131233.427279999945313
6077,48,441,010300,6078,441010300,TAYLOR,2,791,21,727,2097,1485,555,1239,1306,665,464,767,309,15,820,8021.505370369999582,2961158.325110000092536
6078,48,441,010400,6079,441010400,TAYLOR,2,486,30,1329,2002,1516,153,1455,1516,413,969,1053,92,19,1103,5340.379286239999601,1652077.723539999919012
6079,48,441,010500,6080,441010500,TAYLOR,2,1421,72,1281,3335,2370,568,1783,1914,1126,805,1143,350,43,1244,5698.966506409999965,1519329.015140000032261
6080,48,441,010600,6081,441010600,TAYLOR,2,2118,64,1277,3990,2887,469,1696,1872,1707,793,1051,272,39,1180,6677.421977830000287,2326861.547429999802262
6081,48,441,010700,6082,441010700,TAYLOR,2,983,22,2265,3564,2522,300,2497,2581,794,1493,1672,200,14,1728,5423.832207229999767,1663529.719950000056997
6082,48,441,010800,6083,441010800,TAYLOR,2,556,24,809,1581,1178,193,975,1025,469,551,669,128,15,709,8066.272938039999644,2363652.165690000168979
6083,48,441,010900,6084,441010900,TAYLOR,2,3280,172,1218,6057,4746,1358,2489,2777,2798,815,1710,928,129,1948,13322.738667100000384,10006363.568399999290705
6084,48,441,011000,6085,441011000,TAYLOR,2,479,20,460,1116,873,161,600,637,409,325,434,124,16,464,6046.341617340000084,2216598.954630000051111
6085,48,441,011200,6086,441011200,TAYLOR,2,1039,23,1204,2645,1959,369,1523,1606,865,808,1034,244,11,1094,5587.265615880000041,1877328.909669999964535
6086,48,441,011300,6087,441011300,TAYLOR,2,1792,75,1391,4093,3004,809,2126,2301,1491,886,1372,490,67,1513,7363.966048620000038,2778531.719180000014603
6087,48,441,011400,6088,441011400,TAYLOR,2,2626,86,1328,4665,3474,541,1805,2039,2133,841,1151,328,54,1341,8599.365799760000300,3583805.371809999924153
6088,48,441,011500,6089,441011500,TAYLOR,2,1854,61,746,2884,2256,181,903,1030,1531,515,615,105,42,725,7443.387158159999672,2349550.572130000218749
6089,48,441,011600,6090,441011600,TAYLOR,2,1635,27,683,2563,1985,180,828,928,1365,451,546,104,16,620,5474.031580140000187,1863243.521879999898374
6090,48,441,011700,6091,441011700,TAYLOR,2,1040,24,889,2193,1675,213,1077,1153,867,613,754,148,24,808,7772.210829179999564,2317644.624780000187457
6091,48,441,011900,6092,441011900,TAYLOR,2,792,26,1036,2060,1525,165,1176,1268,654,710,804,96,15,871,5501.734481319999759,1830260.678689999971539
6092,48,441,012000,6093,441012000,TAYLOR,2,1767,40,175,2069,1709,42,215,302,1490,118,151,34,33,219,18626.978560999999900,8136538.410489999689162
6093,48,441,012100,6094,441012100,TAYLOR,2,246,7,53,341,298,39,90,95,232,42,62,21,4,66,4791.854534359999889,1273070.027470000088215
6094,48,441,012200,6095,441012200,TAYLOR,2,1481,30,913,2783,2246,351,1223,1302,1271,666,912,264,17,975,13112.809497800000827,7960414.510920000262558
6095,48,441,012300,6096,441012300,TAYLOR,2,2474,139,1225,4416,3297,537,1700,1942,1970,804,1141,362,94,1327,6745.286551109999891,2734738.057769999839365
6096,48,441,012400,6097,441012400,TAYLOR,2,1677,85,589,2610,1977,234,801,933,1385,363,492,136,54,592,9809.975319529999979,4214001.007880000397563
6097,48,441,012500,6098,441012500,TAYLOR,2,2431,79,612,3401,2637,228,825,970,2005,381,517,146,59,632,7563.099391710000418,2111062.557349999900907
6098,48,441,012600,6099,441012600,TAYLOR,2,2639,59,370,3281,2535,146,505,642,2113,229,315,91,45,422,6764.338857300000200,2789959.886950000189245
6099,48,441,012701,6100,441012701,TAYLOR,2,3606,208,569,4696,3780,238,783,1090,3024,391,529,147,140,756,12674.493744699999297,5218972.907420000061393
6100,48,441,012702,6101,441012702,TAYLOR,2,2739,140,566,3759,2991,248,783,1020,2305,389,536,157,100,686,7883.933293760000197,2919516.537200000137091
6101,48,441,012801,6102,441012801,TAYLOR,2,1916,355,691,3435,2888,426,1075,1519,1682,532,835,330,278,1206,6384.326807739999822,2157529.245180000085384
6102,48,441,012802,6103,441012802,TAYLOR,2,2054,347,915,4026,3255,677,1519,1972,1786,657,1110,482,263,1469,10407.557725599999685,6061372.317250000312924
6103,48,441,012900,6104,441012900,TAYLOR,2,1253,152,557,2380,1367,413,922,1127,786,272,470,216,82,581,8582.287073100000271,3223511.834119999781251
6104,48,441,013000,6105,441013000,TAYLOR,2,383,32,85,603,521,114,186,220,314,78,178,111,21,207,24224.394010799998796,18625117.870000001043081
6105,48,441,013100,6106,441013100,TAYLOR,2,2607,136,2193,6031,4404,1044,3105,3424,2080,1420,2056,676,107,2324,23117.488083899999765,19565510.197799999266863
6106,48,441,013200,6107,441013200,TAYLOR,2,1399,26,390,1962,1528,77,459,563,1155,253,295,47,16,373,48697.902226300000621,76664888.498999997973442
6107,48,441,013300,6108,441013300,TAYLOR,2,2127,131,764,3430,2651,323,1071,1303,1747,520,711,199,106,904,40560.689273900003172,68136577.876000002026558
6108,48,441,013401,6109,441013401,TAYLOR,2,2045,224,875,3851,2845,660,1450,1806,1626,547,934,412,168,1219,9146.695218839999143,4582958.930619999766350
6109,48,441,013402,6110,441013402,TAYLOR,2,7040,517,1506,9849,7100,609,2054,2809,5317,901,1232,369,356,1783,47057.001837299998442,74011509.042500004172325
6110,48,441,013404,6111,441013404,TAYLOR,2,8165,482,1612,11223,7969,645,2193,3058,6043,957,1301,364,346,1926,61220.005828200002725,121180814.159999996423721
6111,48,441,013501,6112,441013501,TAYLOR,2,2050,7,211,2389,1861,37,233,339,1622,133,149,20,7,239,164287.966714000009233,867549669.129999995231628
6112,48,441,013502,6113,441013502,TAYLOR,2,5903,90,711,7032,5073,113,810,1129,4371,404,465,67,56,702,101022.350487000003341,312849163.957000017166138
6113,48,441,013601,6114,441013601,TAYLOR,2,2235,14,622,2999,2199,54,674,764,1711,379,412,35,8,488,32398.302561100001185,36355101.719599999487400
6114,48,441,013602,6115,441013602,TAYLOR,2,2149,24,266,2581,2052,42,302,432,1745,180,208,30,15,307,146624.082851000013761,663065687.284999966621399
6115,48,441,980000,6116,441980000,TAYLOR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16216.059964899999613,7876697.149290000088513
6116,48,443,950100,6117,443950100,TERRELL,2,352,13,370,760,616,22,384,408,311,278,287,10,4,305,398495.749779000005219,6083158450.250000000000000
6117,48,445,950100,6118,445950100,TERRY,3,1346,11,1009,2404,1649,13,1020,1058,940,676,678,4,5,709,227294.973782999994000,2242376848.820000171661377
6118,48,445,950300,6119,445950300,TERRY,3,425,21,1459,2076,1667,204,1627,1651,367,1119,1279,174,17,1300,19510.438689099999465,15327077.579299999400973
6119,48,445,950400,6120,445950400,TERRY,3,2828,46,4101,7351,5266,323,4362,4523,2291,2659,2861,216,35,2975,29167.759233900000254,42767521.104699999094009
6120,48,447,950300,6121,447950300,THROCKMORTON,2,1248,8,145,1440,1128,17,156,192,1003,92,96,4,5,125,194497.935249000001932,2363846721.190000057220459
6121,48,449,950100,6122,449950100,TITUS,1,1249,10,495,2106,1592,276,761,857,1008,309,512,203,7,584,141846.713886999990791,319486446.898999989032745
6122,48,449,950200,6123,449950200,TITUS,1,1425,20,937,2507,1901,63,987,1082,1200,585,619,40,17,701,82075.650832100000116,203662000.500000000000000
6123,48,449,950301,6124,449950301,TITUS,1,2283,40,1337,3938,2881,206,1520,1655,1842,821,945,138,26,1039,76713.640596299999743,165108712.851000010967255
6124,48,449,950302,6125,449950302,TITUS,1,2129,56,1462,4066,2959,362,1807,1937,1745,897,1108,215,36,1214,82883.819109699994442,107742844.859999999403954
6125,48,449,950400,6126,449950400,TITUS,1,3330,40,1616,5463,4030,342,1922,2133,2665,983,1204,226,21,1365,101440.192500999997719,277519754.736000001430511
6126,48,449,950500,6127,449950500,TITUS,1,437,9,1947,2779,1902,366,2297,2342,358,1248,1509,273,5,1544,16629.000166599998920,8882219.376790000125766
6127,48,449,950600,6128,449950600,TITUS,1,709,52,2596,4070,2903,732,3276,3361,610,1711,2230,541,30,2293,10048.063074199999392,5450810.706450000405312
6128,48,449,950700,6129,449950700,TITUS,1,194,11,800,1429,978,416,1209,1235,155,479,807,332,3,823,7677.380129150000357,2823985.180999999865890
6129,48,449,950800,6130,449950800,TITUS,1,1654,91,2490,4889,3509,584,3050,3235,1371,1588,1998,418,69,2138,14171.430698300000586,8419855.906339999288321
6130,48,451,000100,6131,451000100,TOM GREEN,5,1345,15,982,2508,1953,85,1062,1163,1147,670,727,59,13,806,14096.966816000000108,9338411.253149999305606
6131,48,451,000200,6132,451000200,TOM GREEN,5,1852,54,2368,4506,3314,164,2494,2654,1507,1595,1677,90,39,1807,13379.106002700000317,9628314.921530000865459
6132,48,451,000300,6133,451000300,TOM GREEN,5,2583,189,3271,6514,4530,398,3596,3931,1953,2104,2322,245,117,2577,24180.866870999998355,34027950.329099997878075
6133,48,451,000400,6134,451000400,TOM GREEN,5,1285,32,4131,5738,4371,254,4345,4453,1116,2995,3158,189,24,3255,9421.679506250000486,4382590.011509999632835
6134,48,451,000700,6135,451000700,TOM GREEN,5,1093,52,2786,4213,3163,214,2963,3120,946,1964,2094,147,34,2217,14249.597586899999442,8533532.676759999245405
6135,48,451,000801,6136,451000801,TOM GREEN,5,2522,123,1751,4703,3464,240,1945,2181,1975,1180,1325,159,75,1489,33763.023214300003019,30985182.994199998676777
6136,48,451,000802,6137,451000802,TOM GREEN,5,1574,153,2677,4742,3303,338,2950,3168,1156,1829,1994,178,101,2147,10463.003207899999325,4279564.362630000337958
6137,48,451,000900,6138,451000900,TOM GREEN,5,846,21,1540,2498,2086,92,1601,1652,781,1209,1263,63,12,1305,8315.286052510000445,3200349.025580000132322
6138,48,451,001000,6139,451001000,TOM GREEN,5,3391,77,1435,5160,4058,167,1562,1769,2818,993,1071,87,51,1240,9424.657572989999608,3889381.110239999834448
6139,48,451,001101,6140,451001101,TOM GREEN,5,3089,228,2255,5978,4485,355,2548,2889,2462,1573,1768,218,164,2023,13640.793577799999184,7464148.799879999831319
6140,48,451,001102,6141,451001102,TOM GREEN,5,2189,59,2249,4735,3535,175,2381,2546,1810,1505,1593,101,32,1725,8618.812420959999145,3187414.328670000191778
6141,48,451,001200,6142,451001200,TOM GREEN,5,2804,102,4121,7557,5593,487,4539,4753,2307,2795,3119,347,76,3286,12126.612653399999544,5035592.794940000399947
6142,48,451,001301,6143,451001301,TOM GREEN,5,3555,224,2096,6451,5190,452,2493,2896,3009,1517,1855,369,176,2181,11691.227120199999263,5716761.619900000281632
6143,48,451,001303,6144,451001303,TOM GREEN,5,2426,220,1490,4475,3427,261,1701,2049,2002,1012,1165,164,164,1425,7037.950246919999699,3128420.908059999812394
6144,48,451,001304,6145,451001304,TOM GREEN,5,2013,129,796,3222,2663,231,988,1209,1742,601,751,181,85,921,7338.256758479999917,2337851.445050000213087
6145,48,451,001401,6146,451001401,TOM GREEN,5,2091,141,1297,3832,3046,282,1530,1741,1754,944,1126,199,103,1292,11570.638979999999719,5138150.221339999698102
6146,48,451,001402,6147,451001402,TOM GREEN,5,148,28,1557,1781,1379,88,1610,1633,112,1210,1250,58,20,1267,9328.481381240000701,3243385.967219999991357
6147,48,451,001500,6148,451001500,TOM GREEN,5,1057,121,345,1776,1665,271,574,719,991,323,539,254,118,674,9529.194614089999959,4418776.251760000362992
6148,48,451,001600,6149,451001600,TOM GREEN,5,4060,48,1365,5653,4138,48,1392,1593,3063,917,932,29,31,1075,205092.098392000014428,1691904546.910000085830688
6149,48,451,001702,6150,451001702,TOM GREEN,5,2399,18,964,3594,2734,71,1011,1195,1920,649,675,30,5,814,32448.161228600001778,45163932.600000001490116
6150,48,451,001706,6151,451001706,TOM GREEN,5,2553,91,893,3776,2991,168,1017,1223,2126,615,713,117,66,865,8542.756919400000697,2627460.479999999981374
6151,48,451,001707,6152,451001707,TOM GREEN,5,4612,320,1781,7210,5693,360,2106,2598,3868,1214,1440,242,247,1825,14029.205644899999243,6086873.403420000337064
6152,48,451,001708,6153,451001708,TOM GREEN,5,5267,137,1256,7023,5528,214,1439,1756,4298,842,987,156,93,1230,68022.461782700003823,101395193.045000001788139
6153,48,451,001709,6154,451001709,TOM GREEN,5,3488,52,1384,5224,3948,131,1506,1736,2792,900,991,92,38,1156,245219.526156999985687,1035711338.889999985694885
6154,48,451,001710,6155,451001710,TOM GREEN,5,3527,76,783,4561,3585,87,853,1034,2865,524,568,54,49,720,168034.968751000007614,931131725.085000038146973
6155,48,451,001800,6156,451001800,TOM GREEN,5,621,36,1490,2564,1909,435,1880,1943,529,994,1325,345,23,1380,13835.092410900000687,5339261.220150000415742
6156,48,451,980000,6157,451980000,TOM GREEN,5,0,6,3,9,4,2,5,9,0,1,2,1,3,4,13227.397900100000697,5850899.765279999934137
6157,48,453,000101,6158,453000101,TRAVIS,3,3643,232,430,4469,3620,71,494,826,3001,333,374,44,156,619,9870.451962880000792,3037525.046889999881387
6158,48,453,000102,6159,453000102,TRAVIS,3,2216,149,159,2597,2083,22,181,381,1805,120,136,16,108,278,12105.468625899999097,5690651.367390000261366
6159,48,453,000203,6160,453000203,TRAVIS,3,1579,376,379,2537,2391,177,551,958,1519,350,514,169,328,872,6109.456119219999891,1203653.483419999945909
6160,48,453,000204,6161,453000204,TRAVIS,3,2353,287,398,3167,2695,64,444,814,2033,321,360,52,221,662,7167.249226590000035,1815601.715439999941736
6161,48,453,000205,6162,453000205,TRAVIS,3,2831,350,728,4186,3793,203,895,1355,2596,635,790,185,303,1197,6256.653867910000372,1506063.020160000072792
6162,48,453,000206,6163,453000206,TRAVIS,3,2392,195,412,3201,2659,128,523,809,1990,333,427,106,167,669,6412.369092150000142,1474837.173960000043735
6163,48,453,000302,6164,453000302,TRAVIS,3,3680,586,721,5245,4716,164,863,1565,3312,636,749,132,554,1404,6009.622744209999837,2043912.229449999984354
6164,48,453,000304,6165,453000304,TRAVIS,3,2047,237,620,3068,2749,117,727,1021,1880,526,612,95,197,869,4638.823216730000240,1187727.236349999904633
6165,48,453,000305,6166,453000305,TRAVIS,3,2687,297,586,3773,3427,132,699,1086,2433,530,627,111,275,994,4891.547728599999573,1473058.011320000048727
6166,48,453,000307,6167,453000307,TRAVIS,3,1301,98,320,1841,1517,112,424,540,1108,241,326,92,75,409,5077.787030339999546,1209460.829880000092089
6167,48,453,000308,6168,453000308,TRAVIS,3,1514,396,591,2698,2122,174,745,1184,1226,477,586,126,268,896,5223.387208490000376,1461078.023580000037327
6168,48,453,000309,6169,453000309,TRAVIS,3,3187,839,999,5602,4528,530,1484,2415,2689,737,1126,422,625,1839,6772.745157549999931,1894433.306219999911264
6169,48,453,000401,6170,453000401,TRAVIS,3,2882,558,731,4477,4131,230,929,1595,2666,680,860,209,511,1465,7020.139053029999559,2173936.810279999859631
6170,48,453,000402,6171,453000402,TRAVIS,3,2031,242,750,3625,3284,520,1239,1594,1896,665,1094,452,200,1388,6423.941957089999960,1537393.214840000029653
6171,48,453,000500,6172,453000500,TRAVIS,3,3093,574,640,4490,4202,113,739,1397,2885,601,693,105,543,1317,4693.573421600000074,1147407.824250000063330
6172,48,453,000601,6173,453000601,TRAVIS,3,2924,2891,2147,8580,8466,688,2765,5656,2881,2113,2731,681,2853,5585,4708.760333449999962,1108922.365860000019893
6173,48,453,000605,6174,453000605,TRAVIS,3,2553,889,906,4645,4276,259,1149,2092,2332,830,1058,244,835,1944,3927.701333659999818,474712.907326999993529
6174,48,453,000606,6175,453000606,TRAVIS,3,2665,1270,837,5012,4654,202,1022,2347,2494,779,940,175,1175,2160,2798.136957230000007,312302.078947999980301
6175,48,453,000607,6176,453000607,TRAVIS,3,2081,1159,779,4268,3987,207,976,2187,1937,730,908,184,1094,2050,3755.747695300000032,475920.660812999994960
6176,48,453,000608,6177,453000608,TRAVIS,3,2717,1552,769,5286,4443,241,995,2569,2264,650,833,191,1314,2179,1886.464434149999988,188260.420611000008648
6177,48,453,000700,6178,453000700,TRAVIS,3,811,280,256,1411,1330,51,299,600,781,234,265,38,266,549,5938.129171540000243,1608670.473669999977574
6178,48,453,000801,6179,453000801,TRAVIS,3,666,59,828,1730,1440,177,987,1064,582,678,807,137,42,858,4628.752783169999930,1292798.379160000011325
6179,48,453,000802,6180,453000802,TRAVIS,3,1133,109,1236,3330,2480,871,2042,2197,956,785,1385,632,91,1524,6353.690979549999611,1704956.677189999958500
6180,48,453,000803,6181,453000803,TRAVIS,3,1874,241,645,3158,2800,344,965,1284,1712,541,813,293,212,1088,5753.759797939999771,1439202.506740000098944
6181,48,453,000804,6182,453000804,TRAVIS,3,1001,88,715,2419,1919,598,1281,1418,887,492,922,439,69,1032,4680.663048270000218,1043441.683150000055321
6182,48,453,000901,6183,453000901,TRAVIS,3,1217,175,780,2719,2466,520,1276,1502,1148,646,1112,479,155,1318,5013.860832160000427,863656.561663000029512
6183,48,453,000902,6184,453000902,TRAVIS,3,3743,493,2872,7803,7018,580,3403,4060,3627,2342,2786,482,457,3391,8799.685238269999900,3029276.795659999828786
6184,48,453,001000,6185,453001000,TRAVIS,3,1643,155,1394,3445,3088,198,1566,1802,1498,1225,1388,188,131,1590,7790.783559679999598,2327068.208440000191331
6185,48,453,001101,6186,453001101,TRAVIS,3,1211,108,419,2258,2200,476,883,1047,1189,405,863,469,102,1011,5195.650825030000306,1140150.243259999901056
6186,48,453,001102,6187,453001102,TRAVIS,3,3077,319,396,4013,3838,133,524,936,2961,374,498,125,294,877,3276.424076320000040,519444.876068999990821
6187,48,453,001103,6188,453001103,TRAVIS,3,2342,293,445,3339,3244,188,623,997,2298,421,592,178,275,946,4859.327051850000316,1006881.848039999953471
6188,48,453,001200,6189,453001200,TRAVIS,3,4585,595,664,6173,5699,190,836,1588,4275,604,741,150,540,1424,6921.080303040000217,2503551.060740000102669
6189,48,453,001304,6190,453001304,TRAVIS,3,3051,250,552,4087,3408,115,659,1036,2608,429,515,91,187,800,6442.429324020000422,1820697.642939999932423
6190,48,453,001307,6191,453001307,TRAVIS,3,2155,158,1180,3743,3253,204,1358,1588,1990,899,1045,158,141,1263,5859.386217459999898,1762448.749920000089332
6191,48,453,001308,6192,453001308,TRAVIS,3,1871,151,778,2927,2706,98,851,1056,1763,696,765,92,131,943,5364.574430519999623,1270544.141449999995530
6192,48,453,001309,6193,453001309,TRAVIS,3,2120,193,304,2707,2417,50,348,587,1918,274,304,32,167,499,5368.867023779999727,1100736.777389999944717
6193,48,453,001310,6194,453001310,TRAVIS,3,2519,245,504,3489,3310,123,612,970,2409,463,560,105,233,901,3760.542435509999905,632472.903523999964818
6194,48,453,001311,6195,453001311,TRAVIS,3,1217,134,225,1656,1584,50,271,439,1170,211,256,47,124,414,5103.533157390000270,1167003.480620000045747
6195,48,453,001312,6196,453001312,TRAVIS,3,2708,236,1213,4575,3680,342,1516,1867,2346,865,1068,222,178,1334,7779.455551820000437,1960461.540240000002086
6196,48,453,001401,6197,453001401,TRAVIS,3,2227,142,382,2876,2664,71,450,649,2073,343,410,67,127,591,6183.672420490000150,1385579.988959999987856
6197,48,453,001402,6198,453001402,TRAVIS,3,1926,111,380,2552,2248,72,444,626,1720,304,359,63,97,528,5593.180888120000418,1341910.046540000010282
6198,48,453,001403,6199,453001403,TRAVIS,3,866,88,362,1391,1243,62,412,525,790,312,355,50,71,453,4421.090498450000268,796846.891254000016488
6199,48,453,001501,6200,453001501,TRAVIS,3,4270,295,670,5457,4149,114,759,1187,3328,464,533,81,202,821,8420.353705789999367,3458333.726110000163317
6200,48,453,001503,6201,453001503,TRAVIS,3,2858,451,1081,4802,4306,280,1338,1944,2613,920,1155,242,401,1693,7776.780906799999684,3461130.398039999883622
6201,48,453,001504,6202,453001504,TRAVIS,3,4286,688,1031,6374,5244,210,1224,2088,3599,806,970,174,534,1645,6635.440428189999693,2623117.771199999842793
6202,48,453,001505,6203,453001505,TRAVIS,3,3505,290,814,4843,4003,134,929,1338,2936,654,734,91,232,1067,6237.508730030000152,2144231.392630000133067
6203,48,453,001602,6204,453001602,TRAVIS,3,1975,637,327,3084,2629,76,391,1109,1697,271,313,51,563,932,7388.670189530000243,2872328.673309999983758
6204,48,453,001603,6205,453001603,TRAVIS,3,4172,168,330,4789,3464,47,369,617,3051,225,252,28,100,413,7854.551558739999564,2549319.474710000213236
6205,48,453,001604,6206,453001604,TRAVIS,3,3539,155,324,4147,3139,37,353,608,2746,213,235,26,82,393,7645.129127410000365,3308074.443750000093132
6206,48,453,001605,6207,453001605,TRAVIS,3,3108,232,412,3889,3268,54,463,781,2658,327,370,45,165,610,7029.620632629999818,1886590.684159999946132
6207,48,453,001606,6208,453001606,TRAVIS,3,167,0,36,228,218,21,57,61,161,32,53,21,0,57,3076.567157500000121,501746.074324999994133
6208,48,453,001910,6209,453001910,TRAVIS,3,3615,529,574,4914,3613,82,652,1299,2744,401,459,62,339,869,22866.075413400001707,7048216.917840000241995
6209,48,453,001911,6210,453001911,TRAVIS,3,1932,394,455,2948,2679,96,531,1016,1827,394,459,78,309,852,13497.070389799999248,3334578.054299999959767
6210,48,453,001912,6211,453001912,TRAVIS,3,3258,564,385,4385,3226,105,481,1127,2502,247,305,61,354,724,28302.237877499999740,14613209.145099999383092
6211,48,453,001913,6212,453001913,TRAVIS,3,3872,587,414,5009,3570,49,456,1137,2863,241,267,29,371,707,16539.574609700001020,12458622.923499999567866
6212,48,453,001914,6213,453001914,TRAVIS,3,5292,376,814,6805,5521,165,955,1513,4320,633,754,133,286,1201,16355.285803799999485,13622871.384600000455976
6213,48,453,001915,6214,453001915,TRAVIS,3,2001,505,663,3404,3013,182,829,1403,1818,549,697,160,432,1195,17998.519840600001771,6156729.771949999965727
6214,48,453,001916,6215,453001916,TRAVIS,3,2528,430,289,3366,2325,55,339,838,1777,174,212,39,281,548,30736.086901999999100,13401380.507500000298023
6215,48,453,001917,6216,453001917,TRAVIS,3,3703,725,410,5005,3516,57,460,1302,2665,270,288,24,469,851,18532.320829500000400,8063447.392389999702573
6216,48,453,001918,6217,453001918,TRAVIS,3,2129,197,221,2609,2016,28,241,480,1683,149,164,21,126,333,13470.831493199999386,8565356.088479999452829
6217,48,453,001919,6218,453001919,TRAVIS,3,3028,287,343,3767,2623,35,375,739,2182,202,224,22,165,441,10584.126811599999201,4414499.593720000237226
6218,48,453,001920,6219,453001920,TRAVIS,3,3276,708,2536,6872,5289,274,2779,3596,2707,1753,1944,215,542,2582,16125.868263500000467,9876038.730420000851154
6219,48,453,001921,6220,453001921,TRAVIS,3,3013,217,338,3696,3098,64,394,683,2612,239,280,42,151,486,31781.716934600000968,22360219.377199999988079
6220,48,453,001922,6221,453001922,TRAVIS,3,1657,155,368,2324,1911,98,448,667,1403,282,342,74,110,508,8843.301668390000486,2177055.320330000016838
6221,48,453,001923,6222,453001923,TRAVIS,3,2454,158,479,3274,2789,83,545,820,2158,375,422,60,116,631,7588.116376859999946,1774997.699190000072122
6222,48,453,002002,6223,453002002,TRAVIS,3,1873,114,828,2975,2582,95,893,1102,1697,657,714,81,81,885,5035.812108490000355,1583409.584830000065267
6223,48,453,002003,6224,453002003,TRAVIS,3,1834,144,1760,4005,3491,226,1958,2171,1683,1484,1641,180,104,1808,8355.868968659999155,2036744.292840000009164
6224,48,453,002004,6225,453002004,TRAVIS,3,1871,261,660,3041,2896,182,820,1170,1822,585,731,159,249,1074,4345.856818979999844,855646.567826000042260
6225,48,453,002006,6226,453002006,TRAVIS,3,1271,176,1280,2890,2348,137,1390,1619,1179,895,996,116,109,1169,3715.456244290000086,724998.852691999985836
6226,48,453,002007,6227,453002007,TRAVIS,3,1584,177,403,2271,2072,63,457,687,1473,344,393,56,152,599,5229.423549410000305,870580.514032999984920
6227,48,453,002104,6228,453002104,TRAVIS,3,1632,105,774,2707,2243,154,914,1075,1418,577,688,113,86,825,5097.219097989999682,1232924.026379999937490
6228,48,453,002105,6229,453002105,TRAVIS,3,1360,187,2373,4614,3773,671,2985,3254,1265,1745,2271,560,159,2508,7500.713406480000231,1928007.104330000001937
6229,48,453,002106,6230,453002106,TRAVIS,3,1453,110,994,2952,2325,367,1328,1499,1217,699,978,289,79,1108,5549.834864260000359,1622729.029869999969378
6230,48,453,002107,6231,453002107,TRAVIS,3,1406,152,1213,3681,3030,878,2042,2275,1216,890,1603,736,134,1814,8962.649425010000414,3044908.392829999793321
6231,48,453,002108,6232,453002108,TRAVIS,3,919,106,1127,3836,3082,1676,2739,2917,805,783,2133,1374,86,2277,9004.353475050000270,3363945.124450000002980
6232,48,453,002109,6233,453002109,TRAVIS,3,1421,177,1007,3834,3317,1240,2207,2413,1289,766,1845,1104,150,2028,8983.204575489999115,2785581.810289999935776
6233,48,453,002110,6234,453002110,TRAVIS,3,1183,154,1785,4278,3283,1167,2904,3095,1060,1289,2065,804,123,2223,8003.321309150000161,3600027.136049999855459
6234,48,453,002111,6235,453002111,TRAVIS,3,1428,159,2466,4987,3765,935,3328,3559,1238,1729,2323,620,120,2527,12978.777379999999539,6759204.403789999894798
6235,48,453,002112,6236,453002112,TRAVIS,3,1758,222,2466,5236,4163,799,3188,3478,1566,1801,2381,617,152,2597,6995.693916289999834,1696597.303229999961331
6236,48,453,002113,6237,453002113,TRAVIS,3,1605,106,1057,3484,2839,701,1728,1879,1395,757,1322,581,78,1444,5699.418857829999979,2085583.225700000068173
6237,48,453,002201,6238,453002201,TRAVIS,3,318,76,1025,2114,1598,714,1708,1796,284,701,1249,558,59,1314,9894.216087740000148,5070521.668239999562502
6238,48,453,002211,6239,453002211,TRAVIS,3,714,168,2062,3592,2595,665,2681,2878,618,1342,1839,523,109,1977,10968.212383599999157,6772732.905819999985397
6239,48,453,002213,6240,453002213,TRAVIS,3,876,80,3850,5253,3565,434,4249,4377,766,2411,2690,292,59,2799,7108.258674159999828,3257834.627789999824017
6240,48,453,002214,6241,453002214,TRAVIS,3,668,36,2114,3624,2838,839,2913,2956,641,1428,2163,760,26,2197,15683.603849499999342,9539418.997430000454187
6241,48,453,002215,6242,453002215,TRAVIS,3,495,70,2993,4182,2763,653,3579,3687,392,1887,2292,438,57,2371,14640.370423599999413,11549701.648099999874830
6242,48,453,002216,6243,453002216,TRAVIS,3,2030,290,5626,10133,7376,2192,7673,8103,1725,3787,5315,1599,227,5651,59472.357355400003144,57903130.550200000405312
6243,48,453,002217,6244,453002217,TRAVIS,3,1318,180,3171,5967,4133,1325,4374,4649,1052,2051,2878,881,139,3081,35871.074808199999097,32577666.642400000244379
6244,48,453,002218,6245,453002218,TRAVIS,3,931,97,3103,5160,3571,1075,4068,4229,775,1993,2681,729,65,2796,34219.083084999998391,35683445.988799996674061
6245,48,453,002219,6246,453002219,TRAVIS,3,1690,177,4055,6614,4675,661,4669,4924,1469,2548,3001,475,131,3206,52114.531450199996470,111187649.840000003576279
